timestamp,dataset,method,purity,status,elapsed_sec,elapsed_min,ave_acc,std_acc,runs,epochs,model,log_file,error
2026-05-18T03:45:29.945642,cora,eigenvector,1.0,success,6.7,0.11,0.8687,0.0084,20,60,GCN,logs_v2/cora_eigenvector_p1.000.log,
2026-05-18T03:45:36.016913,citeseer,degree,0.7,success,6.1,0.10,0.7640,0.0089,20,60,GCN,logs_v2/citeseer_degree_p0.700.log,
2026-05-18T03:45:41.938121,citeseer,degree,0.8,success,5.9,0.10,0.7619,0.0089,20,60,GCN,logs_v2/citeseer_degree_p0.800.log,
2026-05-18T03:45:47.558886,citeseer,degree,0.9,success,5.6,0.09,0.7634,0.0092,20,60,GCN,logs_v2/citeseer_degree_p0.900.log,
2026-05-18T03:45:53.530036,citeseer,degree,0.95,success,6.0,0.10,0.7611,0.0088,20,60,GCN,logs_v2/citeseer_degree_p0.950.log,
2026-05-18T03:45:59.401056,citeseer,degree,0.975,success,5.9,0.10,0.7631,0.0077,20,60,GCN,logs_v2/citeseer_degree_p0.975.log,
2026-05-18T03:46:04.971759,citeseer,degree,1.0,success,5.6,0.09,0.7643,0.0072,20,60,GCN,logs_v2/citeseer_degree_p1.000.log,
2026-05-18T03:46:11.443503,citeseer,degree_centrality,0.7,success,6.5,0.11,0.7601,0.0083,20,60,GCN,logs_v2/citeseer_degree_centrality_p0.700.log,
2026-05-18T03:46:17.064250,citeseer,degree_centrality,0.8,success,5.6,0.09,0.7604,0.0089,20,60,GCN,logs_v2/citeseer_degree_centrality_p0.800.log,
2026-05-18T03:46:22.935274,citeseer,degree_centrality,0.9,success,5.9,0.10,0.7624,0.0090,20,60,GCN,logs_v2/citeseer_degree_centrality_p0.900.log,
2026-05-18T03:46:28.856384,citeseer,degree_centrality,0.95,success,5.9,0.10,0.7625,0.0088,20,60,GCN,logs_v2/citeseer_degree_centrality_p0.950.log,
2026-05-18T03:46:34.677388,citeseer,degree_centrality,0.975,success,5.8,0.10,0.7610,0.0079,20,60,GCN,logs_v2/citeseer_degree_centrality_p0.975.log,
2026-05-18T03:46:40.948815,citeseer,degree_centrality,1.0,success,6.3,0.10,0.7609,0.0101,20,60,GCN,logs_v2/citeseer_degree_centrality_p1.000.log,
